time,temp_f,cloud,humidity,wind_speed,wind_dir,pressure_hpa,uv_index,wind_u,wind_v,dewpoint_f
2026-03-31 14:53:00,79.0,0.75,0.6451,13.809359999999998,100.0,1024.4,0.0,-13.599564792136665,2.3979701987466004,66.01389393544291
2026-03-31 15:53:00,79.0,0.75,0.6017,17.261699999999998,80.0,1024.3,0.0,-16.99945599017083,-2.9974627484332523,64.01444275828537
2026-03-31 16:53:00,80.0,0.45,0.5824,16.11092,70.0,1023.9,0.0,-15.139312638072106,-5.5102591675083845,64.01962705894452
2026-03-31 17:53:00,81.0,0.75,0.5443,13.809359999999998,60.0,1023.3,0.0,-11.959256570004673,-6.904680000000001,63.02093947371473
2026-03-31 18:53:00,81.0,0.75,0.5837,14.96014,80.0,1022.6,0.0,-14.732861858148054,-2.597801048642153,65.01881599653571
2026-03-31 19:53:00,80.0,0.75,0.5824,17.261699999999998,80.0,1022.1,0.0,-16.99945599017083,-2.9974627484332523,64.01962705894452
2026-03-31 20:53:00,79.0,0.45,0.5414,13.809359999999998,70.0,1021.3,0.0,-12.97655368977609,-4.723079286435757,61.014937948820716
2026-03-31 21:53:00,78.0,0.45,0.6004,14.96014,80.0,1021.2,0.0,-14.732861858148054,-2.597801048642153,63.01371464220377
2026-03-31 22:53:00,77.0,0.45,0.6206,10.35702,70.0,1021.0,0.0,-9.732415267332067,-3.5423094648268187,63.01473212492982
2026-03-31 23:53:00,75.0,0.45,0.6631999999999999,9.20624,70.0,1021.1,0.0,-8.65103579318406,-3.148719524290505,63.01095357502368
2026-04-01 00:53:00,75.0,0.2,0.6631999999999999,9.20624,60.0,1021.6,0.0,-7.97283771333645,-4.6031200000000005,63.01095357502368
2026-04-01 01:53:00,75.0,0.45,0.6868000000000001,9.20624,70.0,1022.0,0.0,-8.65103579318406,-3.148719524290505,64.0083879629519
2026-04-01 02:53:00,74.0,0.2,0.7101999999999999,13.809359999999998,100.0,1022.1,0.0,-13.599564792136665,2.3979701987466004,64.0093622311916
2026-04-01 03:53:00,74.0,0.2,0.7354,10.35702,90.0,1022.0,0.0,-10.35702,-6.34184569585256e-16,65.00822710024553
2026-04-01 04:53:00,74.0,0.2,0.7614,10.35702,90.0,1021.6,0.0,-10.35702,-6.34184569585256e-16,66.00778584075505
2026-04-01 05:53:00,73.0,0.2,0.7343999999999999,11.5078,90.0,1021.0,0.0,-11.5078,-7.046495217613957e-16,64.00644381680269
2026-04-01 06:53:00,73.0,0.2,0.7343999999999999,11.5078,90.0,1020.3,0.0,-11.5078,-7.046495217613957e-16,64.00644381680269
2026-04-01 07:53:00,72.0,0.2,0.7595999999999999,6.904679999999999,90.0,1020.0,0.0,-6.904679999999999,-4.2278971305683726e-16,64.00610217120595
2026-04-01 08:53:00,72.0,0.2,0.7595999999999999,8.05546,90.0,1019.6,0.0,-8.05546,-4.932546652329769e-16,64.00610217120595
2026-04-01 09:53:00,71.0,0.2,0.7857,8.05546,90.0,1019.5,0.0,-8.05546,-4.932546652329769e-16,64.00299500668919
2026-04-01 10:53:00,72.0,0.2,0.7595999999999999,9.20624,80.0,1020.0,0.0,-9.066376528091109,-1.5986467991644011,64.00610217120595
2026-04-01 11:53:00,73.0,0.2,0.7343999999999999,6.904679999999999,110.0,1020.8,0.0,-6.488276844888046,2.361539643217878,64.00644381680269
2026-04-01 12:53:00,75.0,0.45,0.6868000000000001,11.5078,80.0,1021.5,0.0,-11.332970660113888,-1.9983084989555016,64.0083879629519
2026-04-01 13:53:00,79.0,0.75,0.6231,11.5078,90.0,1022.0,0.0,-11.5078,-7.046495217613957e-16,65.01562852642682
2026-04-01 14:53:00,76.0,0.75,0.7123,12.65858,60.0,1022.5,0.0,-10.96265185583762,-6.329290000000002,66.01182546691163
2026-04-01 15:53:00,74.0,0.75,0.8158,6.904679999999999,90.0,1022.5,0.0,-6.904679999999999,-4.2278971305683726e-16,68.00579624389849
2026-04-01 16:53:00,78.0,0.75,0.6004,18.41248,100.0,1022.2,0.0,-18.132753056182217,3.1972935983288004,63.01371464220377
2026-04-01 17:53:00,77.0,0.45,0.6426999999999999,11.5078,70.0,1021.9,0.0,-10.813794741480075,-3.935899405363132,64.01289085840797
2026-04-01 18:53:00,79.0,0.75,0.5414,12.65858,100.0,1021.4,0.0,-12.466267726125276,2.1981393488510506,61.014937948820716
2026-04-01 19:53:00,79.0,0.75,0.6017,12.65858,80.0,1020.5,0.0,-12.466267726125276,-2.1981393488510523,64.01444275828537
2026-04-01 20:53:00,79.0,0.75,0.6017,16.11092,90.0,1019.9,0.0,-16.11092,-9.865093304659538e-16,64.01444275828537
2026-04-01 21:53:00,79.0,0.75,0.6017,14.96014,90.0,1019.6,0.0,-14.96014,-9.160443782898142e-16,64.01444275828537
2026-04-01 22:53:00,76.0,0.75,0.6643000000000001,14.96014,70.0,1019.4,0.0,-14.0579331639241,-5.116669226972071,64.00899129847414
2026-04-01 23:53:00,76.0,0.75,0.6643000000000001,18.41248,100.0,1019.6,0.0,-18.132753056182217,3.1972935983288004,64.00899129847414
2026-04-02 00:53:00,75.0,0.45,0.6631999999999999,13.809359999999998,80.0,1019.8,0.0,-13.599564792136665,-2.3979701987466018,63.01095357502368
