time,temp_f,cloud,humidity,wind_speed,wind_dir,pressure_hpa,uv_index
2026-06-21 00:53:00,75.0,0.75,0.9351999999999999,9.20624,120.0,1018.2,0.0
2026-06-21 01:53:00,75.0,0.45,0.9042,8.05546,140.0,1017.1,0.0
2026-06-21 02:53:00,76.0,0.45,0.8745999999999999,5.7539,310.0,1017.5,0.0
2026-06-21 03:53:00,76.0,0.45,0.9046,4.60312,60.0,1016.8,0.0
2026-06-21 04:53:00,77.0,0.45,0.8751000000000001,0.0,0.0,1016.7,0.0
2026-06-21 05:53:00,77.0,0.45,0.905,4.60312,130.0,1016.3,0.0
2026-06-21 06:53:00,76.0,0.2,0.9355,3.4523399999999995,,1016.0,0.0
2026-06-21 07:53:00,76.0,0.2,0.9355,0.0,0.0,1015.5,0.0
2026-06-21 08:53:00,77.0,0.2,0.905,0.0,0.0,1015.6,0.0
2026-06-21 09:53:00,77.0,0.0,0.9357,0.0,0.0,1015.6,0.0
2026-06-21 10:53:00,77.0,0.45,0.9357,3.4523399999999995,190.0,1015.6,0.0
2026-06-21 11:53:00,81.0,0.45,0.8484999999999999,0.0,0.0,1016.2,0.0
2026-06-21 12:53:00,84.0,0.45,0.7961,4.60312,200.0,1016.6,0.0
2026-06-21 13:53:00,87.0,0.2,0.7234,6.904679999999999,160.0,1016.9,0.0
2026-06-21 14:53:00,89.0,0.2,0.6355,8.05546,170.0,1017.0,0.0
2026-06-21 15:53:00,91.0,0.2,0.5398,5.7539,110.0,1016.9,0.0
2026-06-21 16:53:00,93.0,0.2,0.4904,4.60312,160.0,1016.6,0.0
2026-06-21 17:53:00,93.0,0.2,0.58,10.357019999999999,130.0,1016.4,0.0
2026-06-21 18:53:00,94.0,0.2,0.5086999999999999,10.357019999999999,140.0,1015.9,0.0
2026-06-21 19:53:00,94.0,0.2,0.4919,11.5078,130.0,1015.5,0.0
2026-06-21 20:53:00,90.0,0.2,0.5029,10.357019999999999,160.0,1015.6,0.0
2026-06-21 21:53:00,88.0,0.75,0.6559,9.20624,160.0,1015.7,0.0
2026-06-21 22:53:00,87.0,0.75,0.6999,5.7539,160.0,1016.3,0.0
2026-06-21 23:53:00,86.0,0.2,0.6535,6.904679999999999,340.0,1017.4,0.0
2026-06-22 00:53:00,84.0,0.45,0.6736,6.904679999999999,330.0,1017.9,0.0
2026-06-22 01:53:00,83.0,0.2,0.6956,4.60312,40.0,1018.1,0.0
2026-06-22 02:53:00,83.0,0.2,0.6956,0.0,0.0,1018.5,0.0
2026-06-22 03:53:00,84.0,0.75,0.6967,3.4523399999999995,60.0,1018.6,0.0
2026-06-22 04:53:00,83.0,0.2,0.7193999999999999,3.4523399999999995,120.0,1018.5,0.0
2026-06-22 05:53:00,83.0,0.75,0.7193999999999999,0.0,0.0,1018.3,0.0
2026-06-22 06:53:00,84.0,0.45,0.7204,0.0,0.0,1017.9,0.0
2026-06-22 07:53:00,83.0,0.45,0.7693000000000001,0.0,0.0,1017.8,0.0
2026-06-22 08:53:00,83.0,0.45,0.7953,0.0,0.0,1017.6,0.0
2026-06-22 09:53:00,83.0,0.2,0.7953,0.0,0.0,1017.9,0.0
2026-06-22 10:53:00,83.0,0.45,0.7953,4.60312,140.0,1018.1,0.0
2026-06-22 11:53:00,85.0,0.2,0.7709999999999999,4.60312,130.0,1018.8,0.0
2026-06-22 12:53:00,86.0,0.2,0.7223999999999999,6.904679999999999,,1019.3,0.0
2026-06-22 13:53:00,89.0,0.2,0.657,8.05546,120.0,1019.6,0.0
2026-06-22 14:53:00,90.0,0.45,0.6367,6.904679999999999,160.0,1019.9,0.0
2026-06-22 15:53:00,91.0,0.45,0.6172,8.05546,150.0,1020.0,0.0
2026-06-22 16:53:00,92.0,0.45,0.5787,6.904679999999999,,1019.9,0.0
2026-06-22 17:53:00,92.0,0.45,0.5787,10.357019999999999,120.0,1019.8,0.0
2026-06-22 18:53:00,93.0,0.45,0.5426,4.60312,,1019.3,0.0
2026-06-22 19:53:00,92.0,0.45,0.5982999999999999,11.5078,130.0,1019.0,0.0
2026-06-22 20:53:00,88.0,0.75,0.6781,11.5078,140.0,1019.2,0.0
2026-06-22 21:53:00,87.0,0.2,0.7234,10.357019999999999,150.0,1019.6,0.0
2026-06-22 22:53:00,86.0,0.2,0.7468,6.904679999999999,130.0,1019.7,0.0
2026-06-22 23:53:00,86.0,0.2,0.7223999999999999,5.7539,160.0,1020.1,0.0
2026-06-23 00:53:00,84.0,0.2,0.7204,0.0,0.0,1019.9,0.0
2026-06-23 01:53:00,84.0,1.0,0.7204,0.0,0.0,1020.5,0.0
2026-06-23 02:53:00,84.0,1.0,0.7204,0.0,0.0,1021.2,0.0
2026-06-23 03:53:00,84.0,0.75,0.7448999999999999,6.904679999999999,120.0,1021.1,0.0
2026-06-23 04:53:00,84.0,0.2,0.7701,0.0,0.0,1021.0,0.0
2026-06-23 05:53:00,83.0,0.2,0.7953,0.0,0.0,1020.4,0.0
2026-06-23 06:53:00,84.0,0.45,0.7701,0.0,0.0,1019.9,0.0
2026-06-23 07:53:00,82.0,0.2,0.8491,0.0,0.0,1019.4,0.0
2026-06-23 08:53:00,82.0,0.2,0.8214,0.0,0.0,1018.8,0.0
2026-06-23 09:53:00,83.0,0.2,0.7953,0.0,0.0,1019.6,0.0
2026-06-23 10:53:00,83.0,0.45,0.7953,3.4523399999999995,330.0,1020.4,0.0
2026-06-23 11:53:00,84.0,0.75,0.7961,0.0,0.0,1020.6,0.0
2026-06-23 12:53:00,87.0,0.75,0.7234,0.0,0.0,1021.2,0.0
2026-06-23 13:53:00,87.0,0.75,0.7234,4.60312,180.0,1021.3,0.0
2026-06-23 14:53:00,85.0,0.75,0.7459,8.05546,130.0,1021.2,0.0
2026-06-23 15:53:00,88.0,0.2,0.7243999999999999,6.904679999999999,120.0,1021.0,0.0
2026-06-23 16:53:00,90.0,0.75,0.6581999999999999,5.7539,200.0,1020.5,0.0
